family	label	build_sec	index_bytes	search_sec	recall
HNSW	M8_efc40_efs32	1.4751615599998331	59259346	0.03548671899989131	0.15872
HNSW	M8_efc40_efs64	1.4751615599998331	59259346	0.04513443600080791	0.228635
HNSW	M8_efc40_efs128	1.4751615599998331	59259346	0.07153840699902503	0.319935
HNSW	M8_efc120_efs32	3.367715865999344	59259346	0.030734239000594243	0.18916
HNSW	M8_efc120_efs64	3.367715865999344	59259346	0.03194935200008331	0.27505
HNSW	M8_efc120_efs128	3.367715865999344	59259346	0.07814157900065766	0.37883
HNSW	M16_efc40_efs32	2.6972918499996013	65633274	0.046795735997875454	0.250575
HNSW	M16_efc40_efs64	2.6972918499996013	65633274	0.08611755600213655	0.34542
HNSW	M16_efc40_efs128	2.6972918499996013	65633274	0.1929576900001848	0.47007
HNSW	M16_efc120_efs32	7.846403982999618	65633274	0.05379346900008386	0.33304
HNSW	M16_efc120_efs64	7.846403982999618	65633274	0.08450589700078126	0.448155
HNSW	M16_efc120_efs128	7.846403982999618	65633274	0.14119024699903093	0.576625
HNSW	M24_efc40_efs32	16.675734488999296	72024366	0.08734516099866596	0.36032
HNSW	M24_efc40_efs64	16.675734488999296	72024366	0.15019688400207087	0.462545
HNSW	M24_efc40_efs128	16.675734488999296	72024366	0.2186159980010416	0.59532
HNSW	M24_efc120_efs32	11.370127817001048	72024366	0.06886277699959464	0.424555
HNSW	M24_efc120_efs64	11.370127817001048	72024366	0.14896230500016827	0.54717
HNSW	M24_efc120_efs128	11.370127817001048	72024366	0.19239418500001193	0.678435
IVF_PQ	L128_m16_np1	1.4795225659981952	2597812	0.01745884699994349	0.04536
IVF_PQ	L128_m16_np4	1.4795225659981952	2597812	0.03436791599960998	0.09298
IVF_PQ	L128_m16_np16	1.4795225659981952	2597812	0.09868332100086263	0.157965
IVF_PQ	L128_m16_np64	1.4795225659981952	2597812	0.4073554269998567	0.21744
IVF_PQ	L128_m32_np1	1.9161242730006052	4197812	0.01986196300276788	0.047895
IVF_PQ	L128_m32_np4	1.9161242730006052	4197812	0.05088057899774867	0.12335
IVF_PQ	L128_m32_np16	1.9161242730006052	4197812	0.2024145019968273	0.2873
IVF_PQ	L128_m32_np64	1.9161242730006052	4197812	0.7732199919992127	0.48133
IVF_PQ	L512_m16_np1	2.6255945680022705	2797492	0.018669922999833943	0.031595
IVF_PQ	L512_m16_np4	2.6255945680022705	2797492	0.029264994998811744	0.065245
IVF_PQ	L512_m16_np16	2.6255945680022705	2797492	0.056766170000628335	0.120935
IVF_PQ	L512_m16_np64	2.6255945680022705	2797492	0.17489105500135338	0.187035
IVF_PQ	L512_m32_np1	3.155394888999581	4397492	0.015253409001161344	0.032295
IVF_PQ	L512_m32_np4	3.155394888999581	4397492	0.027238788999966346	0.075345
IVF_PQ	L512_m32_np16	3.155394888999581	4397492	0.09385416899749544	0.18511
IVF_PQ	L512_m32_np64	3.155394888999581	4397492	0.33193034500072827	0.368365
LSH	nbits64	0.07730033900224953	832861	0.05552290500054369	0.037345
LSH	nbits128	0.12620563600285095	1665629	0.09449547800250002	0.08541
LSH	nbits256	0.23349154599782196	3331165	0.13653114899716456	0.144415
LSH	nbits512	0.4749640180016286	6662237	0.23472241800118354	0.21573
